origin,sector,model,observed_defaulted,observed_obligors,observed_rate,predicted_rate,log_score
2022-01-31,Finance,B1 = Beta-Binomial-best static baseline,165,22920,0.007198952879581152,0.005608190769547505,-5.409379048060714
2022-01-31,Healthcare,B0 = Binomial-best static baseline,56,24562,0.0022799446299161304,0.002287798156057526,-2.9322934201470616
2022-01-31,Healthcare,B1 = Beta-Binomial-best static baseline,56,24562,0.0022799446299161304,0.002287798156057526,-4.098806276130972
2022-01-31,Technology,B0 = Binomial-best static baseline,92,25989,0.0035399592135134097,0.0026741295808883014,-6.4918862940237005
2022-01-31,Technology,B1 = Beta-Binomial-best static baseline,92,25989,0.0035399592135134097,0.0026741295808883014,-4.843620861303862
2022-01-31,Utilities,B0 = Binomial-best static baseline,66,27496,0.002400349141693337,0.0022063842283210843,-3.2421881541001127
2022-01-31,Utilities,B1 = Beta-Binomial-best static baseline,66,27496,0.002400349141693337,0.0022063842283210843,-3.9314331608145494
2022-01-31,Basic Materials,B2 = One-factor dynamic common-eps model,57,17478,0.0032612427051150017,0.0035318686348552466,-3.1269653021194657
2022-01-31,Capital Goods,B2 = One-factor dynamic common-eps model,85,18693,0.00454715668966993,0.004444266124574261,-3.1611591863952384
2022-01-31,Consumer,B2 = One-factor dynamic common-eps model,66,20157,0.003274296770352731,0.002956789204742769,-3.346352930441391
2022-01-31,Energy,B2 = One-factor dynamic common-eps model,117,21858,0.005352731265440571,0.0050622197822307625,-3.4777999642687547
2022-01-31,Finance,B2 = One-factor dynamic common-eps model,165,22920,0.007198952879581152,0.005991419429901105,-6.104148149800665
2022-01-31,Healthcare,B2 = One-factor dynamic common-eps model,56,24562,0.0022799446299161304,0.0025187959720978205,-3.2200591092168764
2022-01-31,Technology,B2 = One-factor dynamic common-eps model,92,25989,0.0035399592135134097,0.0028845537214462528,-4.98777203950533
2022-01-31,Utilities,B2 = One-factor dynamic common-eps model,66,27496,0.002400349141693337,0.0024038648045776353,-3.0138978033398587
2022-01-31,Basic Materials,B3 = Two-factor dynamic common-eps model,57,17478,0.0032612427051150017,0.0035562802761566923,-3.161134612650514
2022-01-31,Capital Goods,B3 = Two-factor dynamic common-eps model,85,18693,0.00454715668966993,0.00428663135933237,-3.2846829315695913
2022-01-31,Consumer,B3 = Two-factor dynamic common-eps model,66,20157,0.003274296770352731,0.002822509963453556,-3.7082390802643417
2022-01-31,Energy,B3 = Two-factor dynamic common-eps model,117,21858,0.005352731265440571,0.005183609357367249,-3.358027362593731
2022-01-31,Finance,B3 = Two-factor dynamic common-eps model,165,22920,0.007198952879581152,0.0058344968004653865,-6.8912881987161825
2022-01-31,Healthcare,B3 = Two-factor dynamic common-eps model,56,24562,0.0022799446299161304,0.002600901120972776,-3.4409812960246313
2022-01-31,Technology,B3 = Two-factor dynamic common-eps model,92,25989,0.0035399592135134097,0.002928931471006965,-4.735765498153313
2022-01-31,Utilities,B3 = Two-factor dynamic common-eps model,66,27496,0.002400349141693337,0.002417321307341674,-3.015472976228949
2022-07-31,Basic Materials,B0 = Binomial-best static baseline,70,17870,0.00391717963066592,0.0033126837342394295,-3.9762769669223132
2022-07-31,Basic Materials,B1 = Beta-Binomial-best static baseline,70,17870,0.00391717963066592,0.0033126837342394295,-4.346599523963334
2022-07-31,Capital Goods,B0 = Binomial-best static baseline,124,19186,0.006463045971020535,0.004055581703256342,-14.977588282089144
2022-07-31,Capital Goods,B1 = Beta-Binomial-best static baseline,124,19186,0.006463045971020535,0.004055581703256342,-5.636815722110896
2022-07-31,Consumer,B0 = Binomial-best static baseline,76,20588,0.0036914707596658247,0.002737817759940586,-6.17278350800558
2022-07-31,Consumer,B1 = Beta-Binomial-best static baseline,76,20588,0.0036914707596658247,0.002737817759940586,-4.59655764553645
2022-07-31,Energy,B0 = Binomial-best static baseline,141,22201,0.006351065267330301,0.00493335833277891,-7.555610597380024
2022-07-31,Energy,B1 = Beta-Binomial-best static baseline,141,22201,0.006351065267330301,0.00493335833277891,-5.446499296595562
2022-07-31,Finance,B0 = Binomial-best static baseline,242,24268,0.009971979561562552,0.005626017960650797,-36.937042985626505
2022-07-31,Finance,B1 = Beta-Binomial-best static baseline,242,24268,0.009971979561562552,0.005626017960650797,-6.613858863171117
2022-07-31,Healthcare,B0 = Binomial-best static baseline,61,25150,0.00242544731610338,0.002301087110191751,-3.057755425769436
2022-07-31,Healthcare,B1 = Beta-Binomial-best static baseline,61,25150,0.00242544731610338,0.002301087110191751,-4.175581046613161
2022-07-31,Technology,B0 = Binomial-best static baseline,106,26796,0.003955814300641887,0.0026901722855016885,-10.228458293247513
2022-07-31,Technology,B1 = Beta-Binomial-best static baseline,106,26796,0.003955814300641887,0.002690172285501689,-5.205459641383641
2022-07-31,Utilities,B0 = Binomial-best static baseline,78,27738,0.0028120268224096907,0.002200833837045303,-5.264273801959803
2022-07-31,Utilities,B1 = Beta-Binomial-best static baseline,78,27738,0.0028120268224096907,0.002200833837045303,-4.415691168797252
2022-07-31,Basic Materials,B2 = One-factor dynamic common-eps model,70,17870,0.00391717963066592,0.0038490953180376794,-3.0531533333103056
